User_ID,Region,Age_Group,Daily_Screen_Time,Subscription_Count,Monthly_Digital_Spend,Digital_Fatigue_Score,Sleep_Quality,Sentiment_Index,User_Review_Note,Lifestyle_Class
35,Middle East,Gen X (41-56),3.26,4,62.41,3,Good,0.12,"I use digital tools for work and entertainment, but I try to maintain balance. (Cloud Storage mainly)",Balanced
36,LATAM,Millennial (25-40),5.69,4,51.24,5,Good,0.32,"Some subscriptions are useful, others are just taking up space and money.",Balanced
37,Europe,Boomer (57+),3.46,1,12.02,3,Good,0.33,"Digital wellness is important, but finding the right balance is challenging. (YouTube Premium mainly)",Minimalist
38,North America,Millennial (25-40),7.5,5,96.45,7,Poor,-0.27,"Some subscriptions are useful, others are just taking up space and money. (Cloud Storage mainly)",Balanced
39,Asia-Pacific,Millennial (25-40),6.36,4,44.05,4,Excellent,0.26,"I have too many apps, but I don't know which ones to cut.",Balanced
40,Asia-Pacific,Gen Z (18-24),11.6,3,42.55,8,Poor,-0.64,The constant notifications make it impossible to focus. My mental health is suffering.,Digital Addict
41,North America,Boomer (57+),2.45,1,17.96,2,Good,0.9,My sleep improved once I started digital detox after 9 PM. Game changer!,Minimalist
42,Asia-Pacific,Gen Z (18-24),9.88,3,25.51,5,Fair,-0.03,Screen time depends on work demands. Weekends are usually better. (Cloud Storage mainly),Balanced
43,North America,Millennial (25-40),7.68,4,85.2,6,Fair,-0.17,"Digital wellness is important, but finding the right balance is challenging.",Balanced
44,Africa,Millennial (25-40),6.03,5,30.99,5,Good,0.13,"Some subscriptions are useful, others are just taking up space and money. (Instagram mainly)",Balanced
45,Europe,Gen X (41-56),6.52,4,62.49,6,Fair,0.21,"Digital wellness is important, but finding the right balance is challenging.",Balanced
46,Asia-Pacific,Gen X (41-56),4.07,4,46.78,4,Good,0.33,"I use digital tools for work and entertainment, but I try to maintain balance. (Instagram mainly)",Balanced
47,Europe,Millennial (25-40),7.81,4,58.63,6,Fair,-0.09,"I have too many apps, but I don't know which ones to cut.",Balanced
48,Asia-Pacific,Gen Z (18-24),10.79,2,26.65,6,Poor,-0.4,Uninstalled half my apps but the habit is hard to break. Still checking constantly.,Balanced
49,Asia-Pacific,Gen X (41-56),5.29,5,54.29,5,Good,0.38,Found the right mix of subscriptions that actually add value to my life.,Balanced
50,North America,Boomer (57+),3.5,2,28.05,4,Good,0.58,Found the right mix of subscriptions that actually add value to my life.,Balanced
51,Middle East,Gen X (41-56),4.8,4,74.77,5,Good,-0.02,"Digital wellness is important, but finding the right balance is challenging. (Netflix mainly)",Balanced
52,LATAM,Millennial (25-40),5.07,5,34.93,5,Good,0.07,"I have too many apps, but I don't know which ones to cut. (Email Premium mainly)",Balanced
53,Middle East,Boomer (57+),3.65,1,16.28,3,Excellent,0.35,Using apps for meditation and fitness really improved my overall wellness. (YouTube Premium mainly),Minimalist
54,Africa,Millennial (25-40),4.28,4,24.57,4,Good,0.31,"I use digital tools for work and entertainment, but I try to maintain balance.",Balanced
55,Asia-Pacific,Millennial (25-40),6.89,6,43.50145771884454,6,Good,-0.24,"Some subscriptions are useful, others are just taking up space and money.",Balanced
56,Africa,Millennial (25-40),5.32,5,26.63,4,Excellent,0.37,My sleep improved once I started digital detox after 9 PM. Game changer! (Discord mainly),Balanced
57,North America,Millennial (25-40),9.01,6,94.57,7,Good,-0.5,"Digital fatigue is real. Between work emails and personal apps, I can't disconnect.",Balanced
58,North America,Gen X (41-56),4.93,4,92.66,5,Good,-0.12,"I use digital tools for work and entertainment, but I try to maintain balance. (Discord mainly)",Balanced
59,North America,Millennial (25-40),7.45,7,123.32,7,Fair,-0.41,Spent $200+ last month on subscriptions I barely use. Feeling guilty and exhausted.,Balanced
60,Europe,Millennial (25-40),8.3,8,130.17,8,Poor,-0.47,"Digital fatigue is real. Between work emails and personal apps, I can't disconnect.",Balanced
61,Asia-Pacific,Millennial (25-40),7.56,5,75.7,7,Fair,-0.5,Too many ads and expensive subscriptions. I feel drained every day.,Balanced
62,Europe,Gen Z (18-24),8.41,3,41.26,5,Fair,0.23,"Trying to be more mindful, but it's difficult in today's world.",Balanced
63,LATAM,Gen X (41-56),3.94,3,39.94,4,Fair,0.21,Screen time depends on work demands. Weekends are usually better. (Discord mainly),Balanced
64,Europe,Millennial (25-40),8.25,9,154.43,8,Good,-0.54,Spent $200+ last month on subscriptions I barely use. Feeling guilty and exhausted.,Balanced
65,Europe,Gen Z (18-24),9.41,2,13.21,5,Good,-0.22,"Digital wellness is important, but finding the right balance is challenging. (Spotify mainly)",Balanced
66,Asia-Pacific,Gen X (41-56),6.94,7,75.04,7,Excellent,-0.37,Quality of sleep has dropped noticeably since my screen time increased. (Email Premium mainly),Balanced
67,North America,Gen X (41-56),5.77,5,94.37,5,Good,-0.19,"Some subscriptions are useful, others are just taking up space and money.",Balanced
68,LATAM,Gen X (41-56),3.76,4,36.36,4,Good,0.11,"Trying to be more mindful, but it's difficult in today's world. (Instagram mainly)",Balanced
69,North America,Millennial (25-40),7.52,10,126.38,7,Fair,-0.26,Screen time depends on work demands. Weekends are usually better.,Balanced
70,Middle East,Boomer (57+),1.57,1,6.68,1,Good,1.0,Technology enables my creativity and professional growth. Love the digital ecosystem.,Minimalist
71,LATAM,Boomer (57+),1.84,2,10.87,1,Good,1.0,I've set healthy boundaries with screen time and feel much better now. (TikTok mainly),Balanced
72,North America,Gen X (41-56),8.76,3,50.92,7,Excellent,-0.12,"I have too many apps, but I don't know which ones to cut.",Balanced
73,North America,Gen X (41-56),5.99,3,73.61,5,Fair,0.2,"I have too many apps, but I don't know which ones to cut. (Gaming Pass mainly)",Balanced
74,LATAM,Millennial (25-40),6.86,4,26.92,5,Poor,0.34,Technology enables my creativity and professional growth. Love the digital ecosystem.,Balanced
75,Asia-Pacific,Boomer (57+),2.5,2,17.68,2,Fair,0.87,I've set healthy boundaries with screen time and feel much better now.,Balanced
76,Asia-Pacific,Millennial (25-40),9.06,6,67.79,7,Good,-0.48,Everyone's addicted but nobody talks about how bad it really is for our brains.,Balanced
77,LATAM,Gen Z (18-24),8.95,3,12.37,5,Good,0.28,"Digital wellness is important, but finding the right balance is challenging. (YouTube Premium mainly)",Balanced
78,North America,Millennial (25-40),8.98,5,94.32,7,Good,-0.21,"Some subscriptions are useful, others are just taking up space and money.",Balanced
79,Europe,Gen Z (18-24),10.82,2,20.12,6,Poor,0.04,"I have too many apps, but I don't know which ones to cut. (TikTok mainly)",Balanced
80,North America,Boomer (57+),1.69,1,7.13,2,Good,0.77,Digital tools help me stay connected with family abroad. Can't imagine life without them. (YouTube Premium mainly),Minimalist
81,Africa,Gen X (41-56),2.94,3,6.65,3,Excellent,0.7,Digital tools help me stay connected with family abroad. Can't imagine life without them.,Balanced
82,Asia-Pacific,Millennial (25-40),7.0,4,28.59,6,Fair,-0.24,Screen time depends on work demands. Weekends are usually better. (TikTok mainly),Balanced
83,Europe,Gen X (41-56),4.19,4,78.68,4,Excellent,0.0,"Digital wellness is important, but finding the right balance is challenging.",Balanced
84,North America,Millennial (25-40),7.73,4,77.22,6,Good,-0.1,"Digital wellness is important, but finding the right balance is challenging.",Balanced
85,Europe,Gen Z (18-24),8.9,2,42.22,5,Fair,0.02,"Some subscriptions are useful, others are just taking up space and money. (Cloud Storage mainly)",Balanced
86,Europe,Gen X (41-56),6.61,3,57.81,5,Poor,0.21,"Some subscriptions are useful, others are just taking up space and money.",Balanced
87,Asia-Pacific,Gen X (41-56),6.92,5,54.57,6,Fair,-0.0,"I have too many apps, but I don't know which ones to cut.",Balanced
88,Asia-Pacific,Millennial (25-40),7.79,5,55.95,7,Good,-0.22,"Trying to be more mindful, but it's difficult in today's world.",Balanced
89,Africa,Gen X (41-56),5.39,3,28.14,5,Good,0.4,My sleep improved once I started digital detox after 9 PM. Game changer!,Balanced
90,Asia-Pacific,Millennial (25-40),8.99,4,41.53544455944525,7,Fair,-0.4,I've cancelled most services but still feel overwhelmed. Screen time is killing my sleep.,Balanced
91,North America,Millennial (25-40),7.11,6,95.42,6,Fair,0.09,"I have too many apps, but I don't know which ones to cut.",Balanced
92,Asia-Pacific,Gen Z (18-24),8.59,2,47.7,6,Fair,-0.37,I've cancelled most services but still feel overwhelmed. Screen time is killing my sleep.,Balanced
93,LATAM,Millennial (25-40),6.0,5,31.84,6,Poor,-0.0,"Some subscriptions are useful, others are just taking up space and money.",Balanced
94,Asia-Pacific,Gen X (41-56),4.88,5,51.63,5,Good,0.06,"Some subscriptions are useful, others are just taking up space and money.",Balanced
95,LATAM,Gen X (41-56),4.44,13,36.74,5,Excellent,0.09,Screen time depends on work demands. Weekends are usually better.,Balanced
96,Asia-Pacific,Millennial (25-40),7.87,6,69.16,6,Fair,-0.06,"I use digital tools for work and entertainment, but I try to maintain balance.",Balanced
97,Asia-Pacific,Gen X (41-56),5.45,5,75.89,6,Good,-0.19,"Digital wellness is important, but finding the right balance is challenging.",Balanced
98,Asia-Pacific,Gen X (41-56),5.82,4,55.12,5,Excellent,0.12,"I have too many apps, but I don't know which ones to cut. (Netflix mainly)",Balanced
99,North America,Millennial (25-40),6.5,5,94.13,5,Fair,0.28,"I have too many apps, but I don't know which ones to cut. (Instagram mainly)",Balanced
100,North America,Gen Z (18-24),10.1,3,64.35,7,Poor,-0.06,"Some subscriptions are useful, others are just taking up space and money.",Balanced
101,North America,Boomer (57+),2.52,1,21.46,2,Fair,0.65,Found the right mix of subscriptions that actually add value to my life.,Minimalist
102,Asia-Pacific,Gen X (41-56),5.56,6,60.75,7,Excellent,-0.08,"Trying to be more mindful, but it's difficult in today's world. (Instagram mainly)",Balanced
103,Europe,Boomer (57+),3.52,1,21.36,3,Good,0.16,"Trying to be more mindful, but it's difficult in today's world.",Minimalist
104,Asia-Pacific,Millennial (25-40),6.82,5,56.93,6,Good,-0.29,"Trying to be more mindful, but it's difficult in today's world.",Balanced
105,Africa,Gen X (41-56),3.6,3,9.57,3,Excellent,0.85,Found the right mix of subscriptions that actually add value to my life.,Balanced
106,Europe,Millennial (25-40),7.06,4,78.63,6,Fair,-0.23,"I have too many apps, but I don't know which ones to cut. (Email Premium mainly)",Balanced
107,Asia-Pacific,Millennial (25-40),7.39,4,44.46,6,Poor,0.08,"I have too many apps, but I don't know which ones to cut. (Instagram mainly)",Balanced
108,LATAM,Millennial (25-40),6.89,6,42.79,6,Excellent,-0.16,"Some subscriptions are useful, others are just taking up space and money.",Balanced
109,Europe,Millennial (25-40),6.57,7,105.87,6,Poor,-0.17,"I use digital tools for work and entertainment, but I try to maintain balance.",Balanced
110,North America,Gen Z (18-24),9.33,4,77.35,6,Fair,-0.12,"Digital wellness is important, but finding the right balance is challenging.",Balanced
111,Europe,Millennial (25-40),6.58,5,92.99,6,Good,-0.06,Screen time depends on work demands. Weekends are usually better.,Balanced
112,North America,Gen Z (18-24),10.65,2,40.82,6,Fair,-0.28,"Digital wellness is important, but finding the right balance is challenging.",Balanced
113,Africa,Gen X (41-56),3.43,4,28.86,4,Good,0.69,Technology enables my creativity and professional growth. Love the digital ecosystem.,Balanced
114,LATAM,Millennial (25-40),6.54,5,36.9,5,Good,0.45,Technology enables my creativity and professional growth. Love the digital ecosystem.,Balanced
115,Asia-Pacific,Gen Z (18-24),11.78,3,34.68,7,Poor,-0.23,"Some subscriptions are useful, others are just taking up space and money.",Balanced
116,Africa,Gen Z (18-24),7.17,4,20.7,5,Fair,-0.1,"I use digital tools for work and entertainment, but I try to maintain balance. (TikTok mainly)",Balanced
117,LATAM,Gen Z (18-24),8.96,2,16.05,4,Good,0.52,Found the right mix of subscriptions that actually add value to my life.,Balanced
118,North America,Gen X (41-56),6.51,5,88.88,5,Good,0.2,"Digital wellness is important, but finding the right balance is challenging.",Balanced
119,Africa,Gen Z (18-24),8.05,2,5.4,5,Fair,0.47,Technology enables my creativity and professional growth. Love the digital ecosystem.,Balanced
120,Asia-Pacific,Gen X (41-56),5.39,3,41.27,5,Fair,0.09,"I use digital tools for work and entertainment, but I try to maintain balance.",Balanced
121,LATAM,Gen Z (18-24),8.59,2,7.91,5,Good,0.19,"Digital wellness is important, but finding the right balance is challenging.",Balanced
122,Africa,Millennial (25-40),4.5,4,11.01,4,Excellent,0.3,Screen time depends on work demands. Weekends are usually better. (TikTok mainly),Balanced
123,Europe,Boomer (57+),2.13,2,25.15,2,Excellent,0.61,My sleep improved once I started digital detox after 9 PM. Game changer! (TikTok mainly),Balanced
124,North America,Gen X (41-56),4.69,6,116.83,6,Excellent,0.09,Screen time depends on work demands. Weekends are usually better.,Balanced
125,Europe,Gen Z (18-24),11.14,3,52.89,6,Poor,-0.15,"I have too many apps, but I don't know which ones to cut. (Gaming Pass mainly)",Balanced
126,Asia-Pacific,Gen X (41-56),4.75,4,27.17,4,Good,0.28,Screen time depends on work demands. Weekends are usually better. (Spotify mainly),Balanced
127,LATAM,Millennial (25-40),5.51,6,59.97,6,Good,0.01,"I use digital tools for work and entertainment, but I try to maintain balance.",Balanced
128,Africa,Gen X (41-56),2.99,4,23.51,4,Poor,0.54,Technology enables my creativity and professional growth. Love the digital ecosystem. (Spotify mainly),Balanced
129,North America,Gen X (41-56),5.62,5,85.83,5,Good,0.12,"Digital wellness is important, but finding the right balance is challenging.",Balanced
130,Asia-Pacific,Gen X (41-56),5.51,4,42.58,5,Fair,0.38,Using apps for meditation and fitness really improved my overall wellness.,Balanced
131,Asia-Pacific,Boomer (57+),3.87,1,0.0,3,Good,0.53,Using apps for meditation and fitness really improved my overall wellness. (TikTok mainly),Minimalist
132,Europe,Millennial (25-40),7.69,4,63.731310980568956,6,Fair,0.39,I've set healthy boundaries with screen time and feel much better now. (Email Premium mainly),Balanced
133,North America,Gen X (41-56),4.07,4,59.32,5,Fair,0.07,"Trying to be more mindful, but it's difficult in today's world. (Discord mainly)",Balanced
134,Europe,Millennial (25-40),6.5,5,79.0,5,Fair,-0.03,"Digital wellness is important, but finding the right balance is challenging. (Email Premium mainly)",Balanced
135,Middle East,Gen Z (18-24),8.74,3,34.76,6,Fair,-0.33,"I use digital tools for work and entertainment, but I try to maintain balance. (Email Premium mainly)",Balanced
136,Europe,Gen Z (18-24),9.19,3,57.2,6,Poor,-0.05,Screen time depends on work demands. Weekends are usually better. (Spotify mainly),Balanced
137,Asia-Pacific,Gen Z (18-24),11.15,2,22.9,6,Poor,-0.15,"Some subscriptions are useful, others are just taking up space and money.",Balanced
138,Asia-Pacific,Gen X (41-56),5.28,3,40.81,4,Good,0.25,"I use digital tools for work and entertainment, but I try to maintain balance. (Instagram mainly)",Balanced
139,Europe,Millennial (25-40),6.38,4,54.04,5,Poor,-0.08,Screen time depends on work demands. Weekends are usually better.,Balanced
140,Middle East,Millennial (25-40),5.61,4,49.92,5,Good,-0.05,"Some subscriptions are useful, others are just taking up space and money. (TikTok mainly)",Balanced
141,Middle East,Gen Z (18-24),6.88,2,30.8,4,Fair,0.27,"I have too many apps, but I don't know which ones to cut. (Discord mainly)",Balanced
142,Europe,Millennial (25-40),6.7,5,94.92,6,Fair,-0.32,"Digital wellness is important, but finding the right balance is challenging.",Balanced
143,Asia-Pacific,Boomer (57+),3.16,1,41.68726408305226,2,Excellent,0.73,Digital tools help me stay connected with family abroad. Can't imagine life without them.,Minimalist
144,Europe,Millennial (25-40),7.56,6,90.59,7,Fair,-0.48,Uninstalled half my apps but the habit is hard to break. Still checking constantly. (Netflix mainly),Balanced
145,Europe,Gen X (41-56),3.68,3,54.55,4,Good,0.46,Digital tools help me stay connected with family abroad. Can't imagine life without them.,Balanced
146,North America,Gen X (41-56),5.16,3,70.12,4,Excellent,0.41,I've set healthy boundaries with screen time and feel much better now. (Discord mainly),Balanced
147,Asia-Pacific,Gen X (41-56),4.93,5,59.11,6,Excellent,-0.34,"Digital fatigue is real. Between work emails and personal apps, I can't disconnect. (Email Premium mainly)",Balanced
148,Asia-Pacific,Millennial (25-40),7.28,7,67.65,7,Fair,-0.48,Uninstalled half my apps but the habit is hard to break. Still checking constantly.,Balanced
149,North America,Boomer (57+),2.98,2,25.1,2,Fair,0.77,Technology enables my creativity and professional growth. Love the digital ecosystem.,Balanced
150,Europe,Millennial (25-40),6.71,6,100.35,6,Fair,-0.23,"I have too many apps, but I don't know which ones to cut. (Email Premium mainly)",Balanced
151,Africa,Boomer (57+),3.23,3,21.58,3,Excellent,0.53,Digital tools help me stay connected with family abroad. Can't imagine life without them. (Fitness App mainly),Balanced
152,Europe,Millennial (25-40),8.1,7,113.29,7,Fair,-0.53,"Digital fatigue is real. Between work emails and personal apps, I can't disconnect.",Balanced
153,North America,Millennial (25-40),8.42,4,61.21,6,Good,-0.35,Too many ads and expensive subscriptions. I feel drained every day.,Balanced
154,Asia-Pacific,Gen Z (18-24),9.8,4,56.01,6,Good,-0.3,"I use digital tools for work and entertainment, but I try to maintain balance. (TikTok mainly)",Balanced
155,Middle East,Gen X (41-56),3.28,4,47.51,3,Excellent,0.79,Using apps for meditation and fitness really improved my overall wellness. (YouTube Premium mainly),Balanced
156,Europe,Millennial (25-40),7.22,7,120.77,7,Good,-0.32,"I use digital tools for work and entertainment, but I try to maintain balance.",Balanced
157,Asia-Pacific,Millennial (25-40),7.68,7,61.02,7,Poor,-0.52,Uninstalled half my apps but the habit is hard to break. Still checking constantly. (Instagram mainly),Balanced
158,LATAM,Millennial (25-40),5.69,4,48.01,5,Good,-0.03,"Some subscriptions are useful, others are just taking up space and money. (Instagram mainly)",Balanced
159,Europe,Boomer (57+),1.81,2,26.15,2,Good,0.74,Found the right mix of subscriptions that actually add value to my life.,Balanced
160,Asia-Pacific,Gen X (41-56),5.37,5,69.7,5,Good,0.19,"I have too many apps, but I don't know which ones to cut. (Cloud Storage mainly)",Balanced
161,Europe,Millennial (25-40),6.83,10,788.6353320452645,7,Excellent,-0.53,Spent $200+ last month on subscriptions I barely use. Feeling guilty and exhausted.,Balanced
162,Asia-Pacific,Gen X (41-56),5.95,4,30.71,5,Good,-0.24,"I have too many apps, but I don't know which ones to cut.",Balanced
163,Asia-Pacific,Millennial (25-40),8.33,4,47.46,6,Good,-0.2,"I use digital tools for work and entertainment, but I try to maintain balance. (TikTok mainly)",Balanced
164,Asia-Pacific,Millennial (25-40),8.68,6,84.07,7,Good,-0.31,"Some subscriptions are useful, others are just taking up space and money. (Gaming Pass mainly)",Balanced
165,North America,Boomer (57+),1.87,2,30.02,2,Fair,0.52,Using apps for meditation and fitness really improved my overall wellness.,Balanced
166,LATAM,Gen Z (18-24),8.4,3,43.58,6,Good,-0.26,"Some subscriptions are useful, others are just taking up space and money.",Balanced
167,Europe,Millennial (25-40),6.57,4,69.86,5,Good,0.07,"I have too many apps, but I don't know which ones to cut.",Balanced
168,North America,Millennial (25-40),6.5,5,103.4,5,Fair,0.17,Screen time depends on work demands. Weekends are usually better.,Balanced
169,North America,Millennial (25-40),7.13,6,109.59,6,Fair,0.14,"I use digital tools for work and entertainment, but I try to maintain balance. (Discord mainly)",Balanced
170,Asia-Pacific,Millennial (25-40),8.65,5,55.01,8,Fair,-0.61,I've cancelled most services but still feel overwhelmed. Screen time is killing my sleep.,Balanced
171,Asia-Pacific,Millennial (25-40),7.5,4,63.37,5,Fair,0.42,My sleep improved once I started digital detox after 9 PM. Game changer! (Email Premium mainly),Balanced
172,North America,Gen Z (18-24),11.03,3,61.21,6,Poor,-0.27,Screen time depends on work demands. Weekends are usually better. (Spotify mainly),Balanced
173,Asia-Pacific,Millennial (25-40),8.24,5,53.9,7,Excellent,-0.13,Screen time depends on work demands. Weekends are usually better.,Balanced
174,Europe,Millennial (25-40),6.83,4,70.24,6,Poor,-0.32,"I have too many apps, but I don't know which ones to cut. (Netflix mainly)",Balanced
175,Asia-Pacific,Gen Z (18-24),11.13,3,28.1,7,Poor,-0.48,Uninstalled half my apps but the habit is hard to break. Still checking constantly.,Balanced
176,North America,Gen Z (18-24),10.13,2,37.08,6,Poor,-0.3,Screen time depends on work demands. Weekends are usually better.,Balanced
177,Asia-Pacific,Gen X (41-56),4.65,4,56.96,5,Excellent,0.27,"Digital wellness is important, but finding the right balance is challenging.",Balanced
178,Asia-Pacific,Millennial (25-40),9.29,5,54.63,7,Good,-0.61,Spent $200+ last month on subscriptions I barely use. Feeling guilty and exhausted.,Balanced
179,Middle East,Gen X (41-56),4.26,14,42.25,4,Good,0.44,My sleep improved once I started digital detox after 9 PM. Game changer!,Balanced
180,North America,Gen X (41-56),5.19,5,80.33,6,Excellent,0.26,"Digital wellness is important, but finding the right balance is challenging. (Email Premium mainly)",Balanced
181,Europe,Gen X (41-56),4.27,4,66.74,4,Excellent,-0.1,"I have too many apps, but I don't know which ones to cut. (TikTok mainly)",Balanced
182,North America,Millennial (25-40),8.42,4,63.92,5,Fair,0.25,Screen time depends on work demands. Weekends are usually better.,Balanced
183,Africa,Millennial (25-40),5.94,6,21.67,6,Fair,0.15,"I have too many apps, but I don't know which ones to cut. (Fitness App mainly)",Balanced
184,Africa,Millennial (25-40),6.03,6,24.01,5,Fair,0.13,Screen time depends on work demands. Weekends are usually better. (Spotify mainly),Balanced
185,Europe,Gen X (41-56),4.54,4,77.75,5,Good,0.16,"I have too many apps, but I don't know which ones to cut. (Email Premium mainly)",Balanced
186,Asia-Pacific,Millennial (25-40),8.47,5,54.83,6,Fair,-0.14,Screen time depends on work demands. Weekends are usually better. (Gaming Pass mainly),Balanced
187,LATAM,Gen X (41-56),5.0,4,36.58,5,Fair,-0.0,"Trying to be more mindful, but it's difficult in today's world. (Email Premium mainly)",Balanced
188,Asia-Pacific,Boomer (57+),2.46,1,1.58,2,Excellent,0.75,I've set healthy boundaries with screen time and feel much better now.,Minimalist
189,Asia-Pacific,Gen Z (18-24),9.07,2,16.69,7,Excellent,-0.55,Uninstalled half my apps but the habit is hard to break. Still checking constantly. (Instagram mainly),Balanced
190,Europe,Gen Z (18-24),9.82,2,26.86,7,Fair,-0.28,"Digital wellness is important, but finding the right balance is challenging.",Balanced
191,North America,Gen X (41-56),3.92,5,87.23,5,Poor,0.26,"Trying to be more mindful, but it's difficult in today's world.",Balanced
192,Africa,Millennial (25-40),5.65,6,19.42,6,Good,-0.14,"I use digital tools for work and entertainment, but I try to maintain balance.",Balanced
193,Africa,Gen Z (18-24),6.87,4,34.9,5,Good,0.31,"Some subscriptions are useful, others are just taking up space and money.",Balanced
194,Asia-Pacific,Boomer (57+),3.97,3,33.59,4,Good,0.53,Technology enables my creativity and professional growth. Love the digital ecosystem. (YouTube Premium mainly),Balanced
195,Europe,Millennial (25-40),6.84,5,84.52,6,Good,-0.08,"Trying to be more mindful, but it's difficult in today's world.",Balanced
196,Europe,Boomer (57+),3.64,1,25.64,4,Poor,0.73,My sleep improved once I started digital detox after 9 PM. Game changer!,Minimalist
197,Asia-Pacific,Gen X (41-56),4.99,4,53.38,5,Fair,0.2,"Trying to be more mindful, but it's difficult in today's world. (Instagram mainly)",Balanced
